filename,Mouth,Nasal,Skin,Stool
ID_YBNOYC.mgb,0,0,0,0
ID_HPVLUO.mgb,0,0,0,0
ID_DQGGYD.mgb,0,0,0,0
ID_XZBUJB.mgb,0,0,0,0
ID_KRPYRQ.mgb,0,0,0,0
ID_RCYKMF.mgb,0,0,0,0
ID_PDGUOD.mgb,0,0,0,0
ID_JMGROA.mgb,0,0,0,0
ID_UUMDMC.mgb,0,0,0,0
ID_ZCEXAD.mgb,0,0,0,0
ID_YXYPNE.mgb,0,0,0,0
ID_HTVJNB.mgb,0,0,0,0
ID_IKMAKG.mgb,0,0,0,0
ID_MPRONQ.mgb,0,0,0,0
ID_ZDXTOM.mgb,0,0,0,0
ID_CRIKEW.mgb,0,0,0,0
ID_PVDPOY.mgb,0,0,0,0
ID_VAYSCY.mgb,0,0,0,0
ID_UGKPXK.mgb,0,0,0,0
ID_QLOFSU.mgb,0,0,0,0
ID_CGQXZL.mgb,0,0,0,0
ID_PLDVLB.mgb,0,0,0,0
ID_DLHWNC.mgb,0,0,0,0
ID_JTSIEM.mgb,0,0,0,0
ID_GITYQY.mgb,0,0,0,0
ID_PPXPKV.mgb,0,0,0,0
ID_SMBIHP.mgb,0,0,0,0
ID_VAESYJ.mgb,0,0,0,0
ID_AWDNCQ.mgb,0,0,0,0
ID_FSVRAD.mgb,0,0,0,0
ID_PVTQFI.mgb,0,0,0,0
ID_EAPIEV.mgb,0,0,0,0
ID_WAZIVO.mgb,0,0,0,0
ID_FGIJSX.mgb,0,0,0,0
ID_WLRZRX.mgb,0,0,0,0
ID_QKFDBL.mgb,0,0,0,0
ID_SUTSJH.mgb,0,0,0,0
ID_MNFBKJ.mgb,0,0,0,0
ID_BAFNRW.mgb,0,0,0,0
ID_WCZJPK.mgb,0,0,0,0
ID_LJQFWN.mgb,0,0,0,0
ID_RKOHFR.mgb,0,0,0,0
ID_CURUPB.mgb,0,0,0,0
ID_HLDEDL.mgb,0,0,0,0
ID_QHHFWC.mgb,0,0,0,0
ID_KWOISI.mgb,0,0,0,0
ID_DZYFXF.mgb,0,0,0,0
ID_PROOUK.mgb,0,0,0,0
ID_BZUXXM.mgb,0,0,0,0
ID_LMPJDC.mgb,0,0,0,0
ID_WFEQIT.mgb,0,0,0,0
ID_UJTQRO.mgb,0,0,0,0
ID_YVMIEX.mgb,0,0,0,0
ID_AKWSZD.mgb,0,0,0,0
ID_RWUAEX.mgb,0,0,0,0
ID_IBKNZU.mgb,0,0,0,0
ID_CKYLDD.mgb,0,0,0,0
ID_AIVFAZ.mgb,0,0,0,0
ID_OTAMKM.mgb,0,0,0,0
ID_DCMDEF.mgb,0,0,0,0
ID_UYOVRS.mgb,0,0,0,0
ID_WPGKPU.mgb,0,0,0,0
ID_ODOOCR.mgb,0,0,0,0
ID_AMUYDZ.mgb,0,0,0,0
ID_DLQHZF.mgb,0,0,0,0
ID_DZKIUK.mgb,0,0,0,0
ID_LFXTMI.mgb,0,0,0,0
ID_HGAKXN.mgb,0,0,0,0
ID_QLLZQZ.mgb,0,0,0,0
ID_NMGGYU.mgb,0,0,0,0
ID_NGRGOW.mgb,0,0,0,0
ID_YDZRTT.mgb,0,0,0,0
ID_HWKIFI.mgb,0,0,0,0
ID_QQBJRO.mgb,0,0,0,0
ID_UJWTRH.mgb,0,0,0,0
ID_ZCOHNC.mgb,0,0,0,0
ID_EGSYYO.mgb,0,0,0,0
ID_RSCGZV.mgb,0,0,0,0
ID_BMTDZO.mgb,0,0,0,0
ID_NZMCVC.mgb,0,0,0,0
ID_IBNEAO.mgb,0,0,0,0
ID_REULJL.mgb,0,0,0,0
ID_BPZJQD.mgb,0,0,0,0
ID_CAMNHK.mgb,0,0,0,0
ID_REYPNJ.mgb,0,0,0,0
ID_RLMZSH.mgb,0,0,0,0
ID_RMLFIJ.mgb,0,0,0,0
ID_NRSIYE.mgb,0,0,0,0
ID_TTRXNQ.mgb,0,0,0,0
ID_WACWNE.mgb,0,0,0,0
ID_MSTDFL.mgb,0,0,0,0
ID_GCQNBX.mgb,0,0,0,0
ID_EWZCIA.mgb,0,0,0,0
ID_WWPMSP.mgb,0,0,0,0
ID_EOMOBF.mgb,0,0,0,0
ID_MSZOIE.mgb,0,0,0,0
ID_DSPHUD.mgb,0,0,0,0
ID_BYCFRG.mgb,0,0,0,0
ID_FQMGPK.mgb,0,0,0,0
ID_UBTHLE.mgb,0,0,0,0
ID_NMOUMD.mgb,0,0,0,0
ID_FYCAFU.mgb,0,0,0,0
ID_HTVKWC.mgb,0,0,0,0
ID_FXILGC.mgb,0,0,0,0
ID_TBMOOG.mgb,0,0,0,0
ID_CZJPWJ.mgb,0,0,0,0
ID_IVTLDU.mgb,0,0,0,0
ID_EXIPCZ.mgb,0,0,0,0
ID_XVKNSD.mgb,0,0,0,0
ID_FGBIVM.mgb,0,0,0,0
ID_MNOFUX.mgb,0,0,0,0
ID_QKHPMH.mgb,0,0,0,0
ID_TIVDWG.mgb,0,0,0,0
ID_AYUWST.mgb,0,0,0,0
ID_WFREVI.mgb,0,0,0,0
ID_LRVSVW.mgb,0,0,0,0
ID_AWHBEB.mgb,0,0,0,0
ID_HCITXL.mgb,0,0,0,0
ID_QUMMZT.mgb,0,0,0,0
ID_SXCZVK.mgb,0,0,0,0
ID_MCMKMO.mgb,0,0,0,0
ID_SHDKUX.mgb,0,0,0,0
ID_TBIUHC.mgb,0,0,0,0
ID_CCNTTA.mgb,0,0,0,0
ID_CYRXBM.mgb,0,0,0,0
ID_BGUKXP.mgb,0,0,0,0
ID_XLUWLV.mgb,0,0,0,0
ID_RCJRPR.mgb,0,0,0,0
ID_UMYAFU.mgb,0,0,0,0
ID_MDTLYS.mgb,0,0,0,0
ID_GKGCDS.mgb,0,0,0,0
ID_CRRLME.mgb,0,0,0,0
ID_EJUYIB.mgb,0,0,0,0
ID_LUMPGJ.mgb,0,0,0,0
ID_RUQJUY.mgb,0,0,0,0
ID_YTOJQQ.mgb,0,0,0,0
ID_SEZDZP.mgb,0,0,0,0
ID_LTOUMX.mgb,0,0,0,0
ID_ZIMSNW.mgb,0,0,0,0
ID_EKMJZC.mgb,0,0,0,0
ID_LHOFOL.mgb,0,0,0,0
ID_ZPRUAS.mgb,0,0,0,0
ID_VMCDLK.mgb,0,0,0,0
ID_VFYRUF.mgb,0,0,0,0
ID_KIGPAK.mgb,0,0,0,0
ID_OUKSSJ.mgb,0,0,0,0
ID_ELCGSP.mgb,0,0,0,0
ID_XHTZCI.mgb,0,0,0,0
ID_MMPFYM.mgb,0,0,0,0
ID_QAGXOK.mgb,0,0,0,0
ID_IBCCFS.mgb,0,0,0,0
ID_QWQZCT.mgb,0,0,0,0
ID_VRTYHC.mgb,0,0,0,0
ID_RIKUDS.mgb,0,0,0,0
ID_YWBMIU.mgb,0,0,0,0
ID_IPIIVK.mgb,0,0,0,0
ID_PGWIWQ.mgb,0,0,0,0
ID_LUJSLH.mgb,0,0,0,0
ID_CTHPWQ.mgb,0,0,0,0
ID_DGIHFW.mgb,0,0,0,0
ID_COAYXA.mgb,0,0,0,0
ID_GAQOSA.mgb,0,0,0,0
ID_AWUOPA.mgb,0,0,0,0
ID_JLFTVT.mgb,0,0,0,0
ID_LGZRGZ.mgb,0,0,0,0
ID_BTVXGK.mgb,0,0,0,0
ID_DQSPHV.mgb,0,0,0,0
ID_KYHLUP.mgb,0,0,0,0
ID_RSOEDW.mgb,0,0,0,0
ID_NMZZMM.mgb,0,0,0,0
ID_YYKHQJ.mgb,0,0,0,0
ID_TVDXTF.mgb,0,0,0,0
ID_WTJDCG.mgb,0,0,0,0
ID_NAQYIP.mgb,0,0,0,0
ID_QVYSFM.mgb,0,0,0,0
ID_GSOESB.mgb,0,0,0,0
ID_ISGTTF.mgb,0,0,0,0
ID_ZJDYLK.mgb,0,0,0,0
ID_OPISVA.mgb,0,0,0,0
ID_JUVDVO.mgb,0,0,0,0
ID_LINCBY.mgb,0,0,0,0
ID_WCKSIF.mgb,0,0,0,0
ID_FKCFBO.mgb,0,0,0,0
ID_EUMUND.mgb,0,0,0,0
ID_FOVLQW.mgb,0,0,0,0
ID_HUFMBH.mgb,0,0,0,0
ID_EHJZYV.mgb,0,0,0,0
ID_PUMIOI.mgb,0,0,0,0
ID_NHJSDJ.mgb,0,0,0,0
ID_VFJROL.mgb,0,0,0,0
ID_GOLPVM.mgb,0,0,0,0
ID_WBMCVM.mgb,0,0,0,0
ID_DFXCET.mgb,0,0,0,0
ID_GDNXCQ.mgb,0,0,0,0
ID_ZBAENY.mgb,0,0,0,0
ID_KGGOYX.mgb,0,0,0,0
ID_PAOKRA.mgb,0,0,0,0
ID_JDEOCS.mgb,0,0,0,0
ID_WYXUVZ.mgb,0,0,0,0
ID_TAXRNS.mgb,0,0,0,0
ID_PRKEKM.mgb,0,0,0,0
ID_YWABZN.mgb,0,0,0,0
ID_CAFLUD.mgb,0,0,0,0
ID_QWHBRI.mgb,0,0,0,0
ID_DEHZSK.mgb,0,0,0,0
ID_JMFWFN.mgb,0,0,0,0
ID_SIFZMG.mgb,0,0,0,0
ID_SOEIUE.mgb,0,0,0,0
ID_PRMQOT.mgb,0,0,0,0
ID_XSITII.mgb,0,0,0,0
ID_BMMBCB.mgb,0,0,0,0
ID_BXGPNO.mgb,0,0,0,0
ID_RRBFNL.mgb,0,0,0,0
ID_YMUIJN.mgb,0,0,0,0
ID_MCXYEF.mgb,0,0,0,0
ID_DQYBXD.mgb,0,0,0,0
ID_ITKBYB.mgb,0,0,0,0
ID_XGOABT.mgb,0,0,0,0
ID_WIUMTC.mgb,0,0,0,0
ID_TEJVIO.mgb,0,0,0,0
ID_CDWNJE.mgb,0,0,0,0
ID_GVZZFW.mgb,0,0,0,0
ID_EBRDMD.mgb,0,0,0,0
ID_ZZIPPX.mgb,0,0,0,0
ID_JDCHUI.mgb,0,0,0,0
ID_NTRKRJ.mgb,0,0,0,0
ID_PTBYNC.mgb,0,0,0,0
ID_QKNHCR.mgb,0,0,0,0
ID_HAGLMG.mgb,0,0,0,0
ID_SCGIJI.mgb,0,0,0,0
ID_LYOJXP.mgb,0,0,0,0
ID_KMJAIJ.mgb,0,0,0,0
ID_ZIZGXX.mgb,0,0,0,0
ID_ZNJUOS.mgb,0,0,0,0
ID_IEMAVT.mgb,0,0,0,0
ID_ZLNTXR.mgb,0,0,0,0
ID_VCUOUA.mgb,0,0,0,0
ID_XJRBMI.mgb,0,0,0,0
ID_TRZMLZ.mgb,0,0,0,0
ID_EWAEEB.mgb,0,0,0,0
ID_JCQLQG.mgb,0,0,0,0
ID_KNLXQL.mgb,0,0,0,0
ID_UXNIQI.mgb,0,0,0,0
ID_XVUIVT.mgb,0,0,0,0
ID_HJNVPV.mgb,0,0,0,0
ID_BSUSJN.mgb,0,0,0,0
ID_FHKIGB.mgb,0,0,0,0
ID_WBMMPZ.mgb,0,0,0,0
ID_BBHZGN.mgb,0,0,0,0
ID_HFCFFD.mgb,0,0,0,0
ID_LLVAJH.mgb,0,0,0,0
ID_OLFWUX.mgb,0,0,0,0
ID_VLJTAB.mgb,0,0,0,0
ID_GLLBKQ.mgb,0,0,0,0
ID_BXLGGU.mgb,0,0,0,0
ID_KSRKIN.mgb,0,0,0,0
ID_YMVRHW.mgb,0,0,0,0
ID_SLSSUE.mgb,0,0,0,0
ID_MLTJOR.mgb,0,0,0,0
ID_VQAROW.mgb,0,0,0,0
ID_QOCKYY.mgb,0,0,0,0
ID_CPQIGO.mgb,0,0,0,0
ID_RGTTHZ.mgb,0,0,0,0
ID_HMFMLT.mgb,0,0,0,0
ID_VVEYSN.mgb,0,0,0,0
ID_PBXXTP.mgb,0,0,0,0
ID_PDCVQE.mgb,0,0,0,0
ID_XHBQPF.mgb,0,0,0,0
ID_CHLUGJ.mgb,0,0,0,0
ID_AYRSVB.mgb,0,0,0,0
ID_FVXHYB.mgb,0,0,0,0
ID_CTBHHY.mgb,0,0,0,0
ID_DESNNL.mgb,0,0,0,0
ID_ZQPHOL.mgb,0,0,0,0
ID_OTVREC.mgb,0,0,0,0
ID_RMTSMJ.mgb,0,0,0,0
ID_HLUGGK.mgb,0,0,0,0
ID_DBPGZB.mgb,0,0,0,0
ID_KEJCVV.mgb,0,0,0,0
ID_XGBUNW.mgb,0,0,0,0
ID_WLOGEG.mgb,0,0,0,0
ID_IZTUIX.mgb,0,0,0,0
ID_FYMQCV.mgb,0,0,0,0
ID_PZGLVE.mgb,0,0,0,0
ID_CRUQTU.mgb,0,0,0,0
ID_RUTEEA.mgb,0,0,0,0
ID_MDSGOA.mgb,0,0,0,0
ID_ROIPLG.mgb,0,0,0,0
ID_BRXQMI.mgb,0,0,0,0
ID_RYQIJC.mgb,0,0,0,0
ID_RSUGXE.mgb,0,0,0,0
ID_NAHDLQ.mgb,0,0,0,0
ID_XVQFWW.mgb,0,0,0,0
ID_IEHNEU.mgb,0,0,0,0
ID_FLPTMS.mgb,0,0,0,0
ID_CMYHXL.mgb,0,0,0,0
ID_YBEXJU.mgb,0,0,0,0
ID_LEYQFD.mgb,0,0,0,0
ID_EANLQD.mgb,0,0,0,0
ID_PXYGZV.mgb,0,0,0,0
ID_DMOSUZ.mgb,0,0,0,0
ID_CYIBFB.mgb,0,0,0,0
ID_DAKOMQ.mgb,0,0,0,0
ID_XGFKEN.mgb,0,0,0,0
ID_LGFAYI.mgb,0,0,0,0
ID_WKPTIB.mgb,0,0,0,0
ID_HXCRPH.mgb,0,0,0,0
ID_PGOFPW.mgb,0,0,0,0
ID_BRQVGL.mgb,0,0,0,0
ID_INTDEO.mgb,0,0,0,0
ID_BYAFED.mgb,0,0,0,0
ID_RUVILG.mgb,0,0,0,0
ID_TMLHZP.mgb,0,0,0,0
ID_RIAKBG.mgb,0,0,0,0
ID_ZOCTOI.mgb,0,0,0,0
ID_ISPEXV.mgb,0,0,0,0
ID_LRWCUV.mgb,0,0,0,0
ID_IIAVBJ.mgb,0,0,0,0
ID_WHIUUU.mgb,0,0,0,0
ID_IEOLLX.mgb,0,0,0,0
ID_QXKVOW.mgb,0,0,0,0
ID_XFSLFU.mgb,0,0,0,0
ID_QSVRON.mgb,0,0,0,0
ID_JAVLTI.mgb,0,0,0,0
ID_ZOJNBU.mgb,0,0,0,0
ID_ELMXSH.mgb,0,0,0,0
ID_ZKEAEO.mgb,0,0,0,0
ID_ORSALM.mgb,0,0,0,0
ID_KSJZYW.mgb,0,0,0,0
ID_URHMNJ.mgb,0,0,0,0
ID_IBDNAG.mgb,0,0,0,0
ID_ZZWUCJ.mgb,0,0,0,0
ID_CQPBJZ.mgb,0,0,0,0
ID_DCYZXZ.mgb,0,0,0,0
ID_MSKYZF.mgb,0,0,0,0
ID_IXCKHJ.mgb,0,0,0,0
ID_WJYUAL.mgb,0,0,0,0
ID_CNYSMN.mgb,0,0,0,0
ID_RRPSJN.mgb,0,0,0,0
ID_ATFRKF.mgb,0,0,0,0
ID_UPIUVM.mgb,0,0,0,0
ID_CWNXOC.mgb,0,0,0,0
ID_XPHJMZ.mgb,0,0,0,0
ID_DEACVT.mgb,0,0,0,0
ID_TTFIOX.mgb,0,0,0,0
ID_XAZALC.mgb,0,0,0,0
ID_RGWSWF.mgb,0,0,0,0
ID_JUHMAV.mgb,0,0,0,0
ID_WUSJAO.mgb,0,0,0,0
ID_QEBWST.mgb,0,0,0,0
ID_YKYPOY.mgb,0,0,0,0
ID_IYSRIJ.mgb,0,0,0,0
ID_FJZWNX.mgb,0,0,0,0
ID_HVISJK.mgb,0,0,0,0
ID_NZBHZD.mgb,0,0,0,0
ID_YSKBBI.mgb,0,0,0,0
ID_PWNDLE.mgb,0,0,0,0
ID_AJCBOB.mgb,0,0,0,0
ID_BZYPZI.mgb,0,0,0,0
ID_ALHTER.mgb,0,0,0,0
ID_ZIQGRT.mgb,0,0,0,0
ID_THXTJN.mgb,0,0,0,0
ID_EKTTWX.mgb,0,0,0,0
ID_WSWMZK.mgb,0,0,0,0
ID_GPUNWD.mgb,0,0,0,0
ID_BIZXXH.mgb,0,0,0,0
ID_SJMQBD.mgb,0,0,0,0
ID_WWVJZB.mgb,0,0,0,0
ID_TDWDXA.mgb,0,0,0,0
ID_OJQATT.mgb,0,0,0,0
ID_HMXDQX.mgb,0,0,0,0
ID_ZWMJPU.mgb,0,0,0,0
ID_QJPPKT.mgb,0,0,0,0
ID_LFCWWU.mgb,0,0,0,0
ID_HECJPL.mgb,0,0,0,0
ID_WLAYJI.mgb,0,0,0,0
ID_SXNPKC.mgb,0,0,0,0
ID_ULZRVC.mgb,0,0,0,0
ID_VOMBSI.mgb,0,0,0,0
ID_SUBIBF.mgb,0,0,0,0
ID_MFBQPQ.mgb,0,0,0,0
ID_XIIOWV.mgb,0,0,0,0
ID_XAJLRM.mgb,0,0,0,0
ID_AKIAKB.mgb,0,0,0,0
ID_PVVNGT.mgb,0,0,0,0
ID_BNZPZI.mgb,0,0,0,0
ID_CFUAPP.mgb,0,0,0,0
ID_PXNHNU.mgb,0,0,0,0
ID_IQUWWF.mgb,0,0,0,0
ID_BSFZJR.mgb,0,0,0,0
ID_JXAXIB.mgb,0,0,0,0
ID_OVVPGU.mgb,0,0,0,0
ID_WSMTLV.mgb,0,0,0,0
ID_CIQIKP.mgb,0,0,0,0
ID_QETYTO.mgb,0,0,0,0
ID_XXYDBQ.mgb,0,0,0,0
ID_UFGHMX.mgb,0,0,0,0
ID_OLWSVJ.mgb,0,0,0,0
ID_UYRVKP.mgb,0,0,0,0
ID_MJDAET.mgb,0,0,0,0
ID_URPUJI.mgb,0,0,0,0
ID_LLPPYO.mgb,0,0,0,0
ID_RPPEEI.mgb,0,0,0,0
ID_GUEYOJ.mgb,0,0,0,0
ID_SNMASC.mgb,0,0,0,0
ID_HQMIJT.mgb,0,0,0,0
ID_EGRLRM.mgb,0,0,0,0
ID_EWXVSN.mgb,0,0,0,0
ID_ZMZPNF.mgb,0,0,0,0
ID_FSYFIA.mgb,0,0,0,0
ID_YQOIHQ.mgb,0,0,0,0
ID_DHZVMF.mgb,0,0,0,0
ID_TXPIAA.mgb,0,0,0,0
ID_EXBCAT.mgb,0,0,0,0
ID_VIFPQA.mgb,0,0,0,0
ID_ESCLBF.mgb,0,0,0,0
ID_ULYCLD.mgb,0,0,0,0
ID_MXOEXX.mgb,0,0,0,0
ID_XBLBFN.mgb,0,0,0,0
ID_JEJIUK.mgb,0,0,0,0
ID_CMCJKR.mgb,0,0,0,0
ID_VRFSBR.mgb,0,0,0,0
ID_RRGPYK.mgb,0,0,0,0
ID_LWLEZI.mgb,0,0,0,0
ID_PSQGYI.mgb,0,0,0,0
ID_VIJQDQ.mgb,0,0,0,0
ID_FAMGIP.mgb,0,0,0,0
ID_HEJUMM.mgb,0,0,0,0
ID_OPIJCZ.mgb,0,0,0,0
ID_KVZAOY.mgb,0,0,0,0
ID_EHBSHA.mgb,0,0,0,0
ID_WYUYMY.mgb,0,0,0,0
ID_UGFAUT.mgb,0,0,0,0
ID_VUFSVO.mgb,0,0,0,0
ID_TMGNTU.mgb,0,0,0,0
ID_PUHXOV.mgb,0,0,0,0
ID_EBELWC.mgb,0,0,0,0
ID_QURHKE.mgb,0,0,0,0
ID_QZAJWB.mgb,0,0,0,0
ID_RCRXQD.mgb,0,0,0,0
ID_TQWIDM.mgb,0,0,0,0
ID_ORIXUZ.mgb,0,0,0,0
ID_VMZNWI.mgb,0,0,0,0
ID_MNFODC.mgb,0,0,0,0
ID_NFNPRL.mgb,0,0,0,0
ID_YENVJG.mgb,0,0,0,0
ID_LPMFGH.mgb,0,0,0,0
ID_PICJTF.mgb,0,0,0,0
ID_CNJEMU.mgb,0,0,0,0
ID_BZILSP.mgb,0,0,0,0
ID_TUTHLI.mgb,0,0,0,0
ID_BWNYHM.mgb,0,0,0,0
ID_URMZQG.mgb,0,0,0,0
ID_HSUKYJ.mgb,0,0,0,0
ID_PPKBLF.mgb,0,0,0,0
ID_XYJZIJ.mgb,0,0,0,0
ID_TFMMKM.mgb,0,0,0,0
ID_KRHOBX.mgb,0,0,0,0
ID_UHCXKF.mgb,0,0,0,0
ID_VSEPYP.mgb,0,0,0,0
ID_CFTZNA.mgb,0,0,0,0
ID_FQEEFC.mgb,0,0,0,0
ID_ZQTHSJ.mgb,0,0,0,0
ID_IVAWBE.mgb,0,0,0,0
ID_QWVCLM.mgb,0,0,0,0
ID_IADKDN.mgb,0,0,0,0
ID_IXKYFH.mgb,0,0,0,0
ID_JHDIEV.mgb,0,0,0,0
ID_CVBFDK.mgb,0,0,0,0
ID_PDCTGC.mgb,0,0,0,0
ID_SLMINA.mgb,0,0,0,0
ID_SPALGS.mgb,0,0,0,0
ID_YAUXJL.mgb,0,0,0,0
ID_HJGLOZ.mgb,0,0,0,0
ID_BGXBIY.mgb,0,0,0,0
ID_MSXYUE.mgb,0,0,0,0
ID_PBXKUS.mgb,0,0,0,0
ID_XSCGKH.mgb,0,0,0,0
ID_PVGLHK.mgb,0,0,0,0
ID_XREJEU.mgb,0,0,0,0
ID_KZHWLL.mgb,0,0,0,0
ID_IXPYEV.mgb,0,0,0,0
ID_IRJAOX.mgb,0,0,0,0
ID_NCEMDY.mgb,0,0,0,0
ID_EYRGGZ.mgb,0,0,0,0
ID_YXWOUQ.mgb,0,0,0,0
ID_CFQAKO.mgb,0,0,0,0
ID_HZITJP.mgb,0,0,0,0
ID_KGPLHC.mgb,0,0,0,0
ID_CCCVPZ.mgb,0,0,0,0
ID_CPWFIE.mgb,0,0,0,0
ID_HGCFTR.mgb,0,0,0,0
ID_ENGLHB.mgb,0,0,0,0
ID_NFLKEF.mgb,0,0,0,0
ID_SICHIC.mgb,0,0,0,0
ID_QTTMED.mgb,0,0,0,0
ID_MIZQYO.mgb,0,0,0,0
ID_UOIPKJ.mgb,0,0,0,0
ID_GSFJFC.mgb,0,0,0,0
ID_RRAGGS.mgb,0,0,0,0
ID_GXGVNB.mgb,0,0,0,0
ID_QXSOBJ.mgb,0,0,0,0
ID_GZVBSJ.mgb,0,0,0,0
ID_KZTCIC.mgb,0,0,0,0
ID_JMUPYH.mgb,0,0,0,0
ID_XDMVMM.mgb,0,0,0,0
ID_UDICHC.mgb,0,0,0,0
ID_IZGKUA.mgb,0,0,0,0
ID_QZGPGU.mgb,0,0,0,0
ID_UWBLYI.mgb,0,0,0,0
ID_MORRXV.mgb,0,0,0,0
ID_IPUTNF.mgb,0,0,0,0
ID_QYBWII.mgb,0,0,0,0
ID_AKDVQI.mgb,0,0,0,0
ID_WGEOSC.mgb,0,0,0,0
ID_IMSZXP.mgb,0,0,0,0
ID_ECKILA.mgb,0,0,0,0
ID_CIVPPF.mgb,0,0,0,0
ID_UAVUGI.mgb,0,0,0,0
ID_RXLXBE.mgb,0,0,0,0
ID_NMPTSC.mgb,0,0,0,0
ID_WIGQLP.mgb,0,0,0,0
ID_AIQHUX.mgb,0,0,0,0
ID_JTGTDT.mgb,0,0,0,0
ID_DQRJKX.mgb,0,0,0,0
ID_XTJPEO.mgb,0,0,0,0
ID_EZJDLE.mgb,0,0,0,0
ID_OGBSZV.mgb,0,0,0,0
ID_ZCQPZJ.mgb,0,0,0,0
ID_XUKBYU.mgb,0,0,0,0
ID_ADBLNY.mgb,0,0,0,0
ID_LCBVPJ.mgb,0,0,0,0
ID_UWFKLU.mgb,0,0,0,0
